# project_name=keliya solverstep_min=20 epsilon_m=1e-06
day_index,flips_sf,flips_us,flips_gw,flips_stage,flips_total
12053,743,0,0,47,790
12054,723,53,0,40,816
12055,792,9,0,16,817
12056,403,9,4,22,438
12057,447,4,0,0,451
12058,440,0,0,21,461
12059,433,3,0,5,441
12060,432,1,0,8,441
12061,432,22,0,22,476
12062,430,4,0,26,460
12063,454,54,2,29,539
12064,526,66,0,84,676
12065,439,8,0,66,513
12066,430,6,3,103,542
12067,430,0,1,52,483
12068,443,4,0,57,504
12069,440,7,0,40,487
12070,434,1,0,27,462
12071,434,0,0,27,461
12072,436,0,0,34,470
12073,430,0,0,21,451
12074,447,0,0,29,476
12075,430,0,0,23,453
12076,430,0,0,26,456
12077,436,0,0,22,458
12078,430,0,0,7,437
12079,430,0,0,3,433
12080,451,6,0,8,465
12081,430,4,0,18,452
12082,446,6,0,24,476
12083,469,54,0,42,565
12084,650,70,2,115,837
12085,443,0,0,63,506
12086,425,0,0,59,484
12087,426,2,0,56,484
12088,430,4,0,42,476
12089,429,12,2,28,471
12090,431,12,2,34,479
12091,449,12,0,30,491
12092,447,64,2,39,552
12093,430,4,2,77,513
12094,463,41,0,99,603
12095,434,7,0,116,557
12096,439,117,2,215,773
12097,158,5,2,126,291
12098,566,40,0,41,647
12099,519,14,2,41,576
12100,518,8,0,43,569
12101,543,38,0,53,634
12102,510,10,0,52,572
12103,519,0,0,29,548
12104,526,7,0,47,580
12105,516,11,0,74,601
12106,545,30,0,95,670
12107,520,12,0,67,599
12108,493,0,0,59,552
12109,502,4,0,49,555
12110,497,0,0,45,542
12111,516,2,0,49,567
12112,500,24,0,115,639
12113,582,81,2,58,723
12114,558,55,0,71,684
12115,502,6,4,92,604
12116,480,6,2,216,704
12117,490,0,12,313,815
12118,465,0,20,294,779
12119,526,8,36,261,831
12120,510,4,34,85,633
12121,634,53,42,207,936
12122,528,4,24,215,771
12123,512,5,35,102,654
12124,533,36,21,12,602
12125,532,19,25,39,615
12126,619,73,59,348,1099
12127,993,88,98,564,1743
12128,1000,55,37,565,1657
12129,817,24,94,596,1531
12130,825,17,73,897,1812
12131,466,27,20,120,633
12132,358,95,1,51,505
12133,528,9,2,177,716
12134,331,3,14,177,525
12135,292,2,16,103,413
12136,419,12,16,101,548
12137,407,16,14,124,561
12138,394,26,4,112,536
12139,677,168,10,430,1285
12140,988,111,12,495,1606
12141,2981,38,22,158,3199
12142,2100,184,31,125,2440
12143,4,0,0,0,4
