# n_station_files=32 window_days=[12053,12143]
day_index,mean_precip_mm_d,n_samples
12053,0.0000,256
12054,0.0067,256
12055,0.0024,256
12056,0.1048,256
12057,0.0000,256
12058,0.0063,256
12059,0.0000,256
12060,0.0001,256
12061,0.0000,256
12062,0.0002,256
12063,0.0000,256
12064,0.0254,256
12065,0.0551,256
12066,0.0032,256
12067,0.0063,256
12068,0.3409,256
12069,0.2403,256
12070,0.0969,256
12071,0.1186,256
12072,0.0389,256
12073,0.0182,256
12074,0.0199,256
12075,0.0091,256
12076,0.0181,256
12077,0.0337,256
12078,0.0284,256
12079,0.0255,256
12080,0.1950,256
12081,0.0078,256
12082,0.0000,256
12083,0.0000,256
12084,0.5372,256
12085,0.0003,256
12086,0.0162,256
12087,0.0953,256
12088,0.0214,256
12089,0.0390,256
12090,0.0329,256
12091,0.1700,256
12092,0.0039,256
12093,0.0870,256
12094,0.0544,256
12095,0.0087,256
12096,0.1183,256
12097,0.0123,256
12098,0.3561,256
12099,0.0000,256
12100,0.1938,256
12101,0.1668,256
12102,0.5435,256
12103,0.5257,256
12104,0.2027,256
12105,0.0267,256
12106,0.1684,256
12107,0.0175,256
12108,0.0053,256
12109,0.0003,256
12110,0.0030,256
12111,0.0146,256
12112,0.0077,256
12113,0.0052,256
12114,0.0010,256
12115,0.0008,256
12116,0.0319,256
12117,0.1119,256
12118,0.0627,256
12119,0.0841,256
12120,0.0000,256
12121,0.1164,256
12122,0.0635,256
12123,0.2007,256
12124,0.3339,256
12125,0.0076,256
12126,0.0939,256
12127,0.7048,256
12128,0.0830,256
12129,0.0257,256
12130,0.5102,256
12131,0.6944,256
12132,0.1837,256
12133,0.0005,256
12134,0.0051,256
12135,0.0474,256
12136,0.0656,256
12137,0.2444,256
12138,0.6430,256
12139,0.1829,256
12140,0.3677,256
12141,1.1438,256
12142,0.9994,256
12143,0.1529,256
