# project_name=keliya solverstep_min=20
t_next,delta_nst,delta_nfe,delta_ncfn,delta_netf,h_last,h_cur
17356340.000000,9,21,2,0,2.1892610978939069,2.1892610978939069
17356360.000000,6,14,1,0,6.8764468214811405,17.686745695801822
17356380.000000,8,23,3,0,3.8373304458994251,8.5365935388869278
17356400.000000,7,18,2,0,6.7461201281795908,17.275833193057419
17356420.000000,8,23,3,0,3.7850660607746556,8.3616748699857606
17356440.000000,7,18,2,0,6.6450981530465612,16.951053726403888
17356460.000000,8,23,3,0,3.7441301712649837,8.226195698212825
17356480.000000,7,18,2,0,6.5683775404436187,16.708121054706638
17356500.000000,15,21,2,0,1.0442575659191649,1.0442575659191649
17356520.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17356540.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17356560.000000,20,20,0,0,1.0442575659191649,1.0442575659191649
17356580.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17356600.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17356620.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17356640.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17356660.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17356680.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17356700.000000,20,20,0,0,1.0442575659191649,1.0442575659191649
17356720.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17356740.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17356760.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17356780.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17356800.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17356820.000000,20,20,0,0,1.0442575659191649,1.0442575659191649
17356840.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17356860.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17356880.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17356900.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17356920.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17356940.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17356960.000000,20,20,0,0,1.0442575659191649,1.0442575659191649
17356980.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357000.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357020.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357040.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357060.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357080.000000,20,20,0,0,1.0442575659191649,1.0442575659191649
17357100.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357120.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357140.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357160.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357180.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357200.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357220.000000,20,20,0,0,1.0442575659191649,1.0442575659191649
17357240.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357260.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357280.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357300.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357320.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357340.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357360.000000,20,20,0,0,1.0442575659191649,1.0442575659191649
17357380.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357400.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357420.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357440.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357460.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357480.000000,20,20,0,0,1.0442575659191649,1.0442575659191649
17357500.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357520.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357540.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357560.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357580.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357600.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357620.000000,20,20,0,0,1.0442575659191649,1.0442575659191649
17357640.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357660.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357680.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357700.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357720.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357740.000000,20,20,0,0,1.0442575659191649,1.0442575659191649
17357760.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357780.000000,19,20,0,0,1.0442575659191649,1.0442575659191649
17357800.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357820.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357840.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357860.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357880.000000,20,20,0,0,1.0442575659191649,1.0442575659191649
17357900.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357920.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357940.000000,19,19,0,0,1.0442575659191649,1.0442575659191649
17357960.000000,21,25,1,0,0.9587922392275352,0.9587922392275352
17357980.000000,21,21,0,0,0.9587922392275352,0.9587922392275352
17358000.000000,21,21,0,0,0.9587922392275352,0.9587922392275352
17358020.000000,21,21,0,0,0.9587922392275352,0.9587922392275352
17358040.000000,21,21,0,0,0.9587922392275352,0.9587922392275352
17358060.000000,21,21,0,0,0.9587922392275352,0.9587922392275352
17358080.000000,21,21,0,0,0.9587922392275352,0.9587922392275352
17358100.000000,20,20,0,0,0.9587922392275352,0.9587922392275352
17358120.000000,21,21,0,0,0.9587922392275352,0.9587922392275352
17358140.000000,21,21,0,0,0.9587922392275352,0.9587922392275352
17358160.000000,21,22,0,0,0.9587922392275352,2.3838962992950932
17358180.000000,6,9,0,0,3.6739079647622033,3.6739079647622033
17358200.000000,5,9,0,0,5.5729147428564421,5.5729147428564421
17358220.000000,3,4,0,0,5.5729147428564421,5.5729147428564421
17358240.000000,4,7,0,0,5.5729147428564421,9.0189295917178267
17358260.000000,6,16,2,0,3.3634626585915912,5.0922186173400306
17358280.000000,6,15,1,0,2.2552505775732512,3.3934484040186668
17358300.000000,10,26,3,0,1.5525713092599567,2.9016334427072237
17358320.000000,10,26,3,0,1.4239490901064589,2.3054868956182997
17358340.000000,13,25,2,0,3.0781751506223389,6.3172844342057779
17358360.000000,7,17,1,0,4.4358951923963099,4.4358951923963099
17358380.000000,8,21,2,0,2.5474778754745819,4.7444131817598478
17358400.000000,8,21,2,0,2.4954162397803206,4.9250069767267881
17358420.000000,8,20,2,0,4.8915375282471567,7.6710984763213288
17358440.000000,7,18,2,0,2.5856551325001527,4.6987764314041147
17358460.000000,13,25,2,0,6.8630646160091793,6.8630646160091793
17358480.000000,7,18,2,0,2.5267184557126821,4.5927906186863101
