# project_name=keliya solverstep_min=20 epsilon_m=1e-06
entity_type,entity_id,flips_sf,flips_us,flips_gw,flips_stage
ele,1,4,0,0,0
ele,2,0,0,0,0
ele,3,0,0,0,0
ele,4,0,0,0,0
ele,5,3179,3,0,0
ele,6,3,0,0,0
ele,7,0,0,0,0
ele,8,0,0,0,0
ele,9,3261,1,0,0
ele,10,22,0,0,0
ele,11,3,34,0,0
ele,12,0,0,0,0
ele,13,0,0,0,0
ele,14,16,0,0,0
ele,15,0,0,0,0
ele,16,3,0,0,0
ele,17,39,0,0,0
ele,18,3,0,0,0
ele,19,4,0,0,0
ele,20,0,0,0,0
ele,21,11,20,0,0
ele,22,14,0,0,0
ele,23,33,2,0,0
ele,24,7,0,0,0
ele,25,56,0,0,0
ele,26,11,28,0,0
ele,27,33,0,0,0
ele,28,3290,1,0,0
ele,29,0,0,0,0
ele,30,23,0,0,0
ele,31,5,0,0,0
ele,32,0,0,0,0
ele,33,0,0,0,0
ele,34,10,0,0,0
ele,35,31,0,0,0
ele,36,0,0,1,0
ele,37,15,0,0,0
ele,38,18,0,0,0
ele,39,134,30,0,0
ele,40,1,0,0,0
ele,41,3,0,0,0
ele,42,0,0,0,0
ele,43,13,0,0,0
ele,44,1,0,0,0
ele,45,16,0,0,0
ele,46,8,0,0,0
ele,47,1,0,0,0
ele,48,0,0,0,0
ele,49,13,0,0,0
ele,50,0,0,0,0
ele,51,19,0,0,0
ele,52,1,0,0,0
ele,53,18,0,0,0
ele,54,5,0,0,0
ele,55,10,0,0,0
ele,56,7,0,0,0
ele,57,0,0,0,0
ele,58,3,0,0,0
ele,59,3,0,0,0
ele,60,4,0,0,0
ele,61,5,0,0,0
ele,62,8,0,0,0
ele,63,25,0,0,0
ele,64,14,0,0,0
ele,65,35,0,0,0
ele,66,0,0,0,0
ele,67,5,0,0,0
ele,68,43,2,0,0
ele,69,43,2,0,0
ele,70,6,0,0,0
ele,71,29,0,0,0
ele,72,15,0,0,0
ele,73,19,0,0,0
ele,74,43,2,0,0
ele,75,30,0,0,0
ele,76,8,0,0,0
ele,77,13,0,0,0
ele,78,3,0,0,0
ele,79,0,0,0,0
ele,80,5,0,0,0
ele,81,5,0,0,0
ele,82,2,0,0,0
ele,83,43,4,0,0
ele,84,4122,1,3,0
ele,85,4,0,0,0
ele,86,13,0,0,0
ele,87,21,0,0,0
ele,88,0,0,0,0
ele,89,3,0,0,0
ele,90,30,0,0,0
ele,91,4,0,0,0
ele,92,10,0,0,0
ele,93,21,0,0,0
ele,94,13,0,0,0
ele,95,37,0,0,0
ele,96,2,0,0,0
ele,97,10,0,0,0
ele,98,47,4,0,0
ele,99,1,0,0,0
ele,100,6,0,0,0
ele,101,8,0,0,0
ele,102,37,0,0,0
ele,103,49,4,0,0
ele,104,37,0,0,0
ele,105,50,0,0,0
ele,106,49,4,0,0
ele,107,19,0,0,0
ele,108,13,0,0,0
ele,109,23,0,0,0
ele,110,43,2,0,0
ele,111,50,0,0,0
ele,112,50,0,0,0
ele,113,38,0,0,0
ele,114,23,0,0,0
ele,115,49,2,0,0
ele,116,45,6,0,0
ele,117,21,0,0,0
ele,118,23,0,0,0
ele,119,41,2,0,0
ele,120,29,0,0,0
ele,121,23,0,0,0
ele,122,41,6,0,0
ele,123,34,18,0,0
ele,124,39,2,0,0
ele,125,29,0,0,0
ele,126,8,0,0,0
ele,127,29,0,0,0
ele,128,23,2,0,0
ele,129,43,2,0,0
ele,130,35,0,0,0
ele,131,46,2,0,0
ele,132,3,0,0,0
ele,133,35,2,0,0
ele,134,13,0,0,0
ele,135,17,0,0,0
ele,136,45,6,0,0
ele,137,36,0,0,0
ele,138,24,0,0,0
ele,139,32,0,0,0
ele,140,57,2,0,0
ele,141,39,0,0,0
ele,142,25,0,0,0
ele,143,66,12,0,0
ele,144,39,0,0,0
ele,145,62,27,0,0
ele,146,3,0,0,0
ele,147,48,2,0,0
ele,148,0,0,0,0
ele,149,0,0,0,0
ele,150,29,0,0,0
ele,151,9,0,0,0
ele,152,13,0,0,0
ele,153,0,0,0,0
ele,154,28,0,0,0
ele,155,6,0,0,0
ele,156,17,0,0,0
ele,157,78,12,0,0
ele,158,39,0,0,0
ele,159,41,2,0,0
ele,160,44,0,0,0
ele,161,36,4,0,0
ele,162,33,0,0,0
ele,163,0,0,0,0
ele,164,11,0,0,0
ele,165,0,0,0,0
ele,166,4,0,0,0
ele,167,0,0,0,0
