solverstep_min=20.0
total_sub60_intervals=10  days_with_any_sub60=1
day_index,sub60_intervals,sub10_intervals,total_intervals,flips_total
12053,0,0,71,790
12054,10,0,72,816
12055,0,0,72,817
12056,0,0,72,438
12057,0,0,72,451
12058,0,0,72,461
12059,0,0,72,441
12060,0,0,72,441
12061,0,0,72,476
12062,0,0,72,460
12063,0,0,72,539
12064,0,0,72,676
12065,0,0,72,513
12066,0,0,72,542
12067,0,0,72,483
12068,0,0,72,504
12069,0,0,72,487
12070,0,0,72,462
12071,0,0,72,461
12072,0,0,72,470
12073,0,0,72,451
12074,0,0,72,476
12075,0,0,72,453
12076,0,0,72,456
12077,0,0,72,458
12078,0,0,72,437
12079,0,0,72,433
12080,0,0,72,465
12081,0,0,72,452
12082,0,0,72,476
12083,0,0,72,565
12084,0,0,72,837
12085,0,0,72,506
12086,0,0,72,484
12087,0,0,72,484
12088,0,0,72,476
12089,0,0,72,471
12090,0,0,72,479
12091,0,0,72,491
12092,0,0,72,552
12093,0,0,72,513
12094,0,0,72,603
12095,0,0,72,557
12096,0,0,72,773
12097,0,0,72,291
12098,0,0,72,647
12099,0,0,72,576
12100,0,0,72,569
12101,0,0,72,634
12102,0,0,72,572
12103,0,0,72,548
12104,0,0,72,580
12105,0,0,72,601
12106,0,0,72,670
12107,0,0,72,599
12108,0,0,72,552
12109,0,0,72,555
12110,0,0,72,542
12111,0,0,72,567
12112,0,0,72,639
12113,0,0,72,723
12114,0,0,72,684
12115,0,0,72,604
12116,0,0,72,704
12117,0,0,72,815
12118,0,0,72,779
12119,0,0,72,831
12120,0,0,72,633
12121,0,0,72,936
12122,0,0,72,771
12123,0,0,72,654
12124,0,0,72,602
12125,0,0,72,615
12126,0,0,72,1099
12127,0,0,72,1743
12128,0,0,72,1657
12129,0,0,72,1531
12130,0,0,72,1812
12131,0,0,72,633
12132,0,0,72,505
12133,0,0,72,716
12134,0,0,72,525
12135,0,0,72,413
12136,0,0,72,548
12137,0,0,72,561
12138,0,0,72,536
12139,0,0,72,1285
12140,0,0,72,1606
12141,0,0,72,3199
12142,0,0,72,2440
12143,0,0,1,4
