# n_station_files=93 window_days=[366,456]
day_index,mean_precip_mm_d,n_samples
366,13.4115,744
367,4.9232,744
368,0.2338,744
369,2.1012,744
370,4.9360,744
371,0.1741,744
372,0.2447,744
373,0.0000,744
374,0.0000,744
375,0.0000,744
376,0.0000,744
377,0.0000,744
378,0.0000,744
379,0.0000,744
380,0.0066,744
381,0.0114,744
382,0.0524,744
383,0.0337,744
384,0.5814,744
385,9.9471,744
386,3.2308,744
387,0.1357,744
388,0.0018,744
389,0.0002,744
390,0.0000,744
391,0.0000,744
392,0.0000,744
393,0.0000,744
394,3.1838,744
395,4.3774,744
396,0.2410,744
397,10.6334,744
398,0.0340,744
399,0.0093,744
400,0.0699,744
401,1.8064,744
402,3.1729,744
403,0.0430,744
404,0.1914,744
405,4.3321,744
406,0.0000,744
407,1.6498,744
408,3.4722,744
409,0.0928,744
410,1.1101,744
411,0.1848,744
412,1.2562,744
413,0.0091,744
414,0.0000,744
415,0.0021,744
416,0.0022,744
417,0.4267,744
418,0.0105,744
419,0.0263,744
420,4.2906,744
421,2.6751,744
422,2.3320,744
423,0.0262,744
424,0.0000,744
425,0.6119,744
426,13.1331,744
427,1.5444,744
428,0.1226,744
429,4.8385,744
430,5.7667,744
431,1.4995,744
432,0.5270,744
433,1.0548,744
434,0.1030,744
435,0.6788,744
436,0.0000,744
437,2.1207,744
438,3.3846,744
439,20.8503,744
440,0.2204,744
441,17.2563,744
442,16.0638,744
443,2.3354,744
444,0.0000,744
445,9.7759,744
446,26.1660,744
447,30.5788,744
448,19.5581,744
449,13.5540,744
450,4.1364,744
451,7.1042,744
452,25.3442,744
453,7.3861,744
454,9.8452,744
455,7.7178,744
456,0.1599,744
