# project_name=nanlin solverstep_min=20
t_next,delta_nst,delta_nfe,delta_ncfn,delta_netf,h_last,h_cur
527060.000000,17,20,0,0,1.2825114756872633,1.2825114756872633
527080.000000,16,16,0,0,1.2825114756872633,1.2825114756872633
527100.000000,12,15,0,0,3.2279047199132149,3.2279047199132149
527120.000000,6,8,0,0,3.2279047199132149,3.2279047199132149
527140.000000,7,8,0,0,3.2279047199132149,3.2279047199132149
527160.000000,6,7,0,0,3.2279047199132149,3.2279047199132149
527180.000000,6,7,0,0,3.2279047199132149,3.2279047199132149
527200.000000,6,8,0,0,3.2279047199132149,3.2279047199132149
527220.000000,6,7,0,0,3.2279047199132149,3.2279047199132149
527240.000000,5,8,0,0,5.1447776503673444,5.1447776503673444
527260.000000,4,8,0,0,5.1447776503673444,5.1447776503673444
527280.000000,4,6,0,0,5.1447776503673444,5.1447776503673444
527300.000000,4,6,0,0,5.1447776503673444,5.1447776503673444
527320.000000,4,6,0,0,5.1447776503673444,5.1447776503673444
527340.000000,3,5,0,0,5.1447776503673444,5.1447776503673444
527360.000000,4,7,0,0,5.1447776503673444,5.1447776503673444
527380.000000,4,6,0,0,5.1447776503673444,5.1447776503673444
527400.000000,8,17,2,0,0.83699397952039056,0.83699397952039056
527420.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
527440.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
527460.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
527480.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
527500.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
527520.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
527540.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
527560.000000,23,23,0,0,0.83699397952039056,0.83699397952039056
527580.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
527600.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
527620.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
527640.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
527660.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
527680.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
527700.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
527720.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
527740.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
527760.000000,23,23,0,0,0.83699397952039056,0.83699397952039056
527780.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
527800.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
527820.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
527840.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
527860.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
527880.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
527900.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
527920.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
527940.000000,23,23,0,0,0.83699397952039056,0.83699397952039056
527960.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
527980.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528000.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528020.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528040.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528060.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528080.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528100.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528120.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528140.000000,23,23,0,0,0.83699397952039056,0.83699397952039056
528160.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528180.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528200.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528220.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528240.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528260.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528280.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528300.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528320.000000,23,23,0,0,0.83699397952039056,0.83699397952039056
528340.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528360.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528380.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528400.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528420.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528440.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528460.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528480.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528500.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528520.000000,23,23,0,0,0.83699397952039056,0.83699397952039056
528540.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528560.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528580.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528600.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528620.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528640.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528660.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528680.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528700.000000,23,23,0,0,0.83699397952039056,0.83699397952039056
528720.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528740.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528760.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528780.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528800.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528820.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528840.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528860.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528880.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528900.000000,23,23,0,0,0.83699397952039056,0.83699397952039056
528920.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528940.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528960.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
528980.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529000.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529020.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529040.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529060.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529080.000000,23,23,0,0,0.83699397952039056,0.83699397952039056
529100.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529120.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529140.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529160.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529180.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529200.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529220.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529240.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529260.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529280.000000,23,23,0,0,0.83699397952039056,0.83699397952039056
529300.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529320.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529340.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529360.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529380.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529400.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529420.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529440.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529460.000000,23,23,0,0,0.83699397952039056,0.83699397952039056
529480.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529500.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529520.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529540.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529560.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529580.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529600.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529620.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529640.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529660.000000,23,23,0,0,0.83699397952039056,0.83699397952039056
529680.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529700.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529720.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529740.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529760.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529780.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529800.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529820.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529840.000000,23,23,0,0,0.83699397952039056,0.83699397952039056
529860.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529880.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529900.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529920.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529940.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529960.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
529980.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530000.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530020.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530040.000000,23,23,0,0,0.83699397952039056,0.83699397952039056
530060.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530080.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530100.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530120.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530140.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530160.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530180.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530200.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530220.000000,23,23,0,0,0.83699397952039056,0.83699397952039056
530240.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530260.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530280.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530300.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530320.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530340.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530360.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530380.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530400.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530420.000000,23,23,0,0,0.83699397952039056,0.83699397952039056
530440.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530460.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530480.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530500.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530520.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530540.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530560.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530580.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530600.000000,23,23,0,0,0.83699397952039056,0.83699397952039056
530620.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530640.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530660.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530680.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530700.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530720.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530740.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530760.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530780.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530800.000000,23,23,0,0,0.83699397952039056,0.83699397952039056
530820.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530840.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530860.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530880.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530900.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530920.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530940.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530960.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
530980.000000,23,23,0,0,0.83699397952039056,0.83699397952039056
531000.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
531020.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
531040.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
531060.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
531080.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
531100.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
531120.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
531140.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
531160.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
531180.000000,23,23,0,0,0.83699397952039056,0.83699397952039056
531200.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
531220.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
531240.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
531260.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
531280.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
531300.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
531320.000000,24,24,0,0,0.83699397952039056,0.83699397952039056
