# project_name=nanlin solverstep_min=20 epsilon_m=1e-06
day_index,flips_sf,flips_us,flips_gw,flips_stage,flips_total
366,6356,27,631,919,7933
367,2143,0,229,230,2602
368,274,0,129,121,524
369,5862,0,75,518,6455
370,8901,0,140,865,9906
371,440,0,147,235,822
372,511,0,117,271,899
373,401,0,150,283,834
374,9220,0,94,603,9917
375,4857,0,134,673,5664
376,923,0,50,540,1513
377,236,0,42,703,981
378,158,0,52,652,862
379,97,0,41,673,811
380,147,0,146,731,1024
381,186,0,410,901,1497
382,97,0,87,931,1115
383,547,0,388,873,1808
384,3196,0,725,994,4915
385,7735,0,1208,1228,10171
386,3478,0,441,725,4644
387,451,0,961,631,2043
388,8245,0,45,928,9218
389,4680,0,64,862,5606
390,3361,0,75,792,4228
391,2029,0,53,948,3030
392,900,0,50,1237,2187
393,275,0,10,1410,1695
394,5885,0,987,1411,8283
395,6657,0,1892,1223,9772
396,2026,0,1679,1071,4776
397,10206,0,1684,1331,13221
398,750,0,589,577,1916
399,486,0,1109,624,2219
400,542,0,123,749,1414
401,6316,0,234,1158,7708
402,3998,0,848,991,5837
403,2652,0,906,972,4530
404,2802,0,461,1173,4436
405,8474,0,1498,1482,11454
406,793,0,1087,1049,2929
407,3238,0,778,1554,5570
408,6824,0,1148,1394,9366
409,2006,0,1096,1388,4490
410,4940,0,1133,1703,7776
411,8361,0,820,2116,11297
412,5685,0,113,1384,7182
413,4621,0,176,1347,6144
414,798,0,95,1075,1968
415,157,0,62,1059,1278
416,127,0,78,869,1074
417,5508,0,193,840,6541
418,2014,0,144,857,3015
419,460,0,323,694,1477
420,6080,0,1287,1008,8375
421,4107,0,450,1454,6011
422,5811,0,1849,2323,9983
423,1479,0,1335,2001,4815
424,5624,0,56,1442,7122
425,3201,0,272,1367,4840
426,7686,0,1306,1095,10087
427,3868,0,818,1156,5842
428,1081,0,1437,1481,3999
429,8038,0,1581,1634,11253
430,4689,0,641,971,6301
431,3430,0,1790,1487,6707
432,3298,0,905,1508,5711
433,5462,0,460,1535,7457
434,4646,0,1013,1244,6903
435,4812,0,391,993,6196
436,1468,0,87,944,2499
437,5196,0,989,1772,7957
438,8567,0,1989,2034,12590
439,7139,0,2031,1221,10391
440,1405,0,1218,462,3085
441,5259,0,1671,960,7890
442,6260,0,381,573,7214
443,3218,0,482,335,4035
444,733,0,750,407,1890
445,12248,0,1173,1173,14594
446,15458,0,786,1468,17712
447,14608,0,345,1075,16028
448,9398,0,1626,936,11960
449,5636,0,962,466,7064
450,6272,0,576,392,7240
451,10215,0,627,900,11742
452,7092,0,1210,657,8959
453,9052,0,1086,499,10637
454,9060,0,1126,742,10928
455,6699,0,1941,683,9323
456,11,0,7,1,19
