solverstep_min=20.0
total_sub60_intervals=6344  days_with_any_sub60=91
day_index,sub60_intervals,sub10_intervals,total_intervals,flips_total
366,53,0,71,7933
367,72,0,72,2602
368,72,0,72,524
369,72,0,72,6455
370,72,0,72,9906
371,72,0,72,822
372,72,0,72,899
373,72,0,72,834
374,72,0,72,9917
375,72,0,72,5664
376,72,0,72,1513
377,72,0,72,981
378,72,0,72,862
379,72,0,72,811
380,72,0,72,1024
381,72,0,72,1497
382,72,0,72,1115
383,72,0,72,1808
384,72,0,72,4915
385,72,0,72,10171
386,72,0,72,4644
387,72,0,72,2043
388,72,0,72,9218
389,72,0,72,5606
390,72,0,72,4228
391,72,0,72,3030
392,72,0,72,2187
393,72,0,72,1695
394,72,0,72,8283
395,72,0,72,9772
396,72,0,72,4776
397,72,0,72,13221
398,72,0,72,1916
399,72,0,72,2219
400,72,0,72,1414
401,72,0,72,7708
402,72,0,72,5837
403,72,0,72,4530
404,72,0,72,4436
405,72,0,72,11454
406,72,0,72,2929
407,72,0,72,5570
408,72,0,72,9366
409,72,0,72,4490
410,72,0,72,7776
411,72,0,72,11297
412,72,0,72,7182
413,72,0,72,6144
414,72,0,72,1968
415,72,0,72,1278
416,72,0,72,1074
417,72,0,72,6541
418,72,0,72,3015
419,72,0,72,1477
420,72,0,72,8375
421,72,0,72,6011
422,72,0,72,9983
423,72,0,72,4815
424,72,0,72,7122
425,72,0,72,4840
426,72,0,72,10087
427,72,0,72,5842
428,72,0,72,3999
429,72,0,72,11253
430,72,0,72,6301
431,72,0,72,6707
432,72,0,72,5711
433,72,0,72,7457
434,72,0,72,6903
435,72,0,72,6196
436,72,0,72,2499
437,72,0,72,7957
438,72,0,72,12590
439,70,0,72,10391
440,72,0,72,3085
441,64,0,72,7890
442,46,0,72,7214
443,72,0,72,4035
444,72,0,72,1890
445,64,0,72,14594
446,16,0,72,17712
447,55,0,72,16028
448,71,0,72,11960
449,72,0,72,7064
450,72,0,72,7240
451,72,0,72,11742
452,72,0,72,8959
453,72,0,72,10637
454,72,0,72,10928
455,72,0,72,9323
456,1,0,1,19
