# n_station_files=50 window_days=[0,90]
day_index,mean_precip_mm_d,n_samples
0,1.0196,400
1,0.0156,400
2,0.0000,400
3,0.0000,400
4,0.0000,400
5,0.0000,400
6,0.0000,400
7,0.5161,400
8,0.0799,400
9,0.1966,400
10,1.9242,400
11,10.0315,400
12,9.5150,400
13,0.4781,400
14,0.5683,400
15,0.0000,400
16,0.0000,400
17,0.0628,400
18,0.0002,400
19,0.0000,400
20,0.0584,400
21,1.6826,400
22,0.0000,400
23,0.0017,400
24,2.9520,400
25,3.8751,400
26,0.0318,400
27,4.1030,400
28,1.2033,400
29,2.0806,400
30,7.7043,400
31,5.8797,400
32,0.0023,400
33,0.0007,400
34,0.8132,400
35,6.3779,400
36,11.0564,400
37,0.0532,400
38,0.0000,400
39,0.0000,400
40,0.0022,400
41,0.1068,400
42,0.0000,400
43,0.0000,400
44,0.0000,400
45,0.0000,400
46,0.0000,400
47,0.0194,400
48,0.0009,400
49,0.0000,400
50,0.0000,400
51,0.0000,400
52,0.0000,400
53,10.0694,400
54,0.0000,400
55,1.0795,400
56,22.9552,400
57,17.4267,400
58,6.7293,400
59,0.8439,400
60,0.0002,400
61,0.0000,400
62,0.0004,400
63,11.3033,400
64,0.9583,400
65,0.0028,400
66,0.0000,400
67,0.9263,400
68,3.0604,400
69,20.3550,400
70,31.0120,400
71,5.1811,400
72,34.2463,400
73,6.4719,400
74,17.1829,400
75,1.0483,400
76,0.0298,400
77,0.3512,400
78,5.4369,400
79,0.5379,400
80,1.6822,400
81,1.6783,400
82,13.1453,400
83,2.6235,400
84,1.6173,400
85,0.5115,400
86,0.0045,400
87,0.0000,400
88,0.1402,400
89,2.3778,400
90,23.8746,400
