# project_name=xinanjiang solverstep_min=20
t_next,delta_nst,delta_nfe,delta_ncfn,delta_netf,h_last,h_cur
20.000000,7,13,0,0,4.8711495552137158,4.8711495552137158
40.000000,4,5,0,0,4.8711495552137158,8.6949457495025371
60.000000,3,3,0,0,13.623437411244041,13.623437411244041
80.000000,1,1,0,0,13.623437411244041,13.623437411244041
100.000000,2,2,0,0,13.623437411244041,13.623437411244041
120.000000,1,1,0,0,13.623437411244041,13.623437411244041
140.000000,1,1,0,0,13.623437411244041,13.623437411244041
160.000000,2,2,0,0,13.623437411244041,13.623437411244041
180.000000,1,1,0,0,13.623437411244041,13.623437411244041
200.000000,2,2,0,0,20,20
220.000000,1,1,0,0,20,20
240.000000,1,1,0,0,20,20
260.000000,1,1,0,0,20,20
280.000000,1,1,0,0,20,20
300.000000,1,1,0,0,20,20
320.000000,1,1,0,0,20,20
340.000000,1,1,0,0,20,20
360.000000,1,1,0,0,20,20
380.000000,1,1,0,0,20,20
400.000000,1,1,0,0,20,20
420.000000,1,1,0,0,20,20
440.000000,1,1,0,0,20,20
460.000000,1,1,0,0,20,20
480.000000,1,1,0,0,20,20
500.000000,1,1,0,0,20,20
520.000000,1,1,0,0,20,20
540.000000,1,1,0,0,20,20
560.000000,1,1,0,0,20,20
580.000000,1,1,0,0,20,20
600.000000,1,1,0,0,20,20
620.000000,1,1,0,0,20,20
640.000000,1,1,0,0,20,20
660.000000,1,1,0,0,20,20
680.000000,1,1,0,0,20,20
700.000000,1,1,0,0,20,20
720.000000,1,1,0,0,20,20
740.000000,1,1,0,0,20,20
760.000000,1,1,0,0,20,20
780.000000,1,1,0,0,20,20
800.000000,1,1,0,0,20,20
820.000000,1,1,0,0,20,20
840.000000,1,1,0,0,20,20
860.000000,1,1,0,0,20,20
880.000000,1,1,0,0,20,20
900.000000,1,1,0,0,20,20
920.000000,1,1,0,0,20,20
940.000000,1,1,0,0,20,20
960.000000,1,1,0,0,20,20
980.000000,1,1,0,0,20,20
1000.000000,1,1,0,0,20,20
1020.000000,1,1,0,0,20,20
1040.000000,1,1,0,0,20,20
1060.000000,1,1,0,0,20,20
1080.000000,1,1,0,0,20,20
1100.000000,1,1,0,0,20,20
1120.000000,1,1,0,0,20,20
1140.000000,1,1,0,0,20,20
1160.000000,1,1,0,0,20,20
1180.000000,1,1,0,0,20,20
1200.000000,1,1,0,0,20,20
1220.000000,1,1,0,0,20,20
1240.000000,1,1,0,0,20,20
1260.000000,1,1,0,0,20,20
1280.000000,1,1,0,0,20,20
1300.000000,1,1,0,0,20,20
1320.000000,1,1,0,0,20,20
1340.000000,1,1,0,0,20,20
1360.000000,1,1,0,0,20,20
1380.000000,1,1,0,0,20,20
1400.000000,1,1,0,0,20,20
1420.000000,1,1,0,0,20,20
1440.000000,1,1,0,0,20,20
1460.000000,1,1,0,0,20,20
1480.000000,1,1,0,0,20,20
1500.000000,1,1,0,0,20,20
1520.000000,1,1,0,0,20,20
1540.000000,1,1,0,0,20,20
1560.000000,1,1,0,0,20,20
1580.000000,1,1,0,0,20,20
1600.000000,1,1,0,0,20,20
1620.000000,1,1,0,0,20,20
1640.000000,1,1,0,0,20,20
1660.000000,1,1,0,0,20,20
1680.000000,1,1,0,0,20,20
1700.000000,1,1,0,0,20,20
1720.000000,1,1,0,0,20,20
1740.000000,1,1,0,0,20,20
1760.000000,1,1,0,0,20,20
1780.000000,1,1,0,0,20,20
1800.000000,1,1,0,0,20,20
1820.000000,1,1,0,0,20,20
1840.000000,1,1,0,0,20,20
1860.000000,1,1,0,0,20,20
1880.000000,1,1,0,0,20,20
1900.000000,1,1,0,0,20,20
1920.000000,1,1,0,0,20,20
1940.000000,1,1,0,0,20,20
1960.000000,1,1,0,0,20,20
1980.000000,1,1,0,0,20,20
2000.000000,1,1,0,0,20,20
2020.000000,1,1,0,0,20,20
2040.000000,1,1,0,0,20,20
2060.000000,1,1,0,0,20,20
2080.000000,1,1,0,0,20,20
2100.000000,1,1,0,0,20,20
2120.000000,1,1,0,0,20,20
2140.000000,1,1,0,0,20,20
2160.000000,1,1,0,0,20,20
2180.000000,1,1,0,0,20,20
2200.000000,1,1,0,0,20,20
2220.000000,1,1,0,0,20,20
2240.000000,1,1,0,0,20,20
2260.000000,1,1,0,0,20,20
2280.000000,1,1,0,0,20,20
2300.000000,1,1,0,0,20,20
2320.000000,1,1,0,0,20,20
2340.000000,1,1,0,0,20,20
2360.000000,1,1,0,0,20,20
2380.000000,1,1,0,0,20,20
2400.000000,1,1,0,0,20,20
2420.000000,1,1,0,0,20,20
2440.000000,1,1,0,0,20,20
2460.000000,1,1,0,0,20,20
2480.000000,1,1,0,0,20,20
2500.000000,1,1,0,0,20,20
2520.000000,1,1,0,0,20,20
2540.000000,1,1,0,0,20,20
2560.000000,1,1,0,0,20,20
2580.000000,1,1,0,0,20,20
2600.000000,1,1,0,0,20,20
2620.000000,1,1,0,0,20,20
2640.000000,1,1,0,0,20,20
2660.000000,1,1,0,0,20,20
2680.000000,1,1,0,0,20,20
2700.000000,1,1,0,0,20,20
2720.000000,1,1,0,0,20,20
2740.000000,1,1,0,0,20,20
2760.000000,1,1,0,0,20,20
2780.000000,1,1,0,0,20,20
2800.000000,1,1,0,0,20,20
2820.000000,1,1,0,0,20,20
2840.000000,1,1,0,0,20,20
2860.000000,1,1,0,0,20,20
2880.000000,1,1,0,0,20,20
2900.000000,1,1,0,0,20,20
2920.000000,1,1,0,0,20,20
2940.000000,1,1,0,0,20,20
2960.000000,1,1,0,0,20,20
