# project_name=xinanjiang solverstep_min=20 epsilon_m=1e-06
entity_type,entity_id,flips_sf,flips_us,flips_gw,flips_stage
ele,1,167,0,0,0
ele,2,77,0,0,0
ele,3,124,0,0,0
ele,4,115,0,0,0
ele,5,103,0,0,0
ele,6,105,0,0,0
ele,7,149,0,0,0
ele,8,43,0,0,0
ele,9,125,0,0,0
ele,10,125,0,0,0
ele,11,131,0,0,0
ele,12,121,0,0,0
ele,13,143,0,14,0
ele,14,137,0,10,0
ele,15,143,0,0,0
ele,16,137,0,0,0
ele,17,106,0,0,0
ele,18,125,0,0,0
ele,19,159,0,12,0
ele,20,121,0,0,0
ele,21,137,0,0,0
ele,22,129,0,0,0
ele,23,173,0,0,0
ele,24,121,0,0,0
ele,25,151,0,0,0
ele,26,121,0,2,0
ele,27,141,0,14,0
ele,28,77,0,0,0
ele,29,87,0,0,0
ele,30,133,0,0,0
ele,31,75,0,0,0
ele,32,109,0,0,0
ele,33,85,0,0,0
ele,34,116,0,0,0
ele,35,123,0,14,0
ele,36,103,0,0,0
ele,37,279,0,8,0
ele,38,111,0,0,0
ele,39,129,0,0,0
ele,40,129,0,0,0
ele,41,121,0,0,0
ele,42,233,0,0,0
ele,43,103,0,0,0
ele,44,123,0,0,0
ele,45,117,0,0,0
ele,46,102,0,0,0
ele,47,143,0,2,0
ele,48,131,0,0,0
ele,49,95,0,0,0
ele,50,133,0,0,0
ele,51,135,0,0,0
ele,52,165,0,8,0
ele,53,131,0,8,0
ele,54,129,0,0,0
ele,55,201,0,12,0
ele,56,56,0,0,0
ele,57,157,0,8,0
ele,58,57,0,0,0
ele,59,139,0,0,0
ele,60,191,0,8,0
ele,61,129,0,0,0
ele,62,117,0,0,0
ele,63,127,0,0,0
ele,64,117,0,0,0
ele,65,161,0,10,0
ele,66,105,0,0,0
ele,67,145,0,0,0
ele,68,113,0,0,0
ele,69,135,0,10,0
ele,70,127,0,0,0
ele,71,285,0,6,0
ele,72,193,0,0,0
ele,73,159,0,6,0
ele,74,161,0,10,0
ele,75,95,0,0,0
ele,76,95,0,0,0
ele,77,125,0,0,0
ele,78,99,0,0,0
ele,79,131,0,6,0
ele,80,143,0,0,0
ele,81,113,0,0,0
ele,82,115,0,0,0
ele,83,155,0,10,0
ele,84,127,0,14,0
ele,85,116,0,0,0
ele,86,141,0,0,0
ele,87,81,0,0,0
ele,88,133,0,0,0
ele,89,77,0,0,0
ele,90,121,0,8,0
ele,91,115,0,0,0
ele,92,141,0,2,0
ele,93,75,0,0,0
ele,94,89,0,0,0
ele,95,89,0,0,0
ele,96,197,0,0,0
ele,97,55,0,0,0
ele,98,95,0,8,0
ele,99,79,0,0,0
ele,100,129,0,14,0
ele,101,139,0,8,0
ele,102,121,0,8,0
ele,103,95,0,0,0
ele,104,131,0,0,0
ele,105,153,0,8,0
ele,106,179,0,8,0
ele,107,109,0,0,0
ele,108,53,0,2,0
ele,109,152,0,0,0
ele,110,165,0,0,0
ele,111,66,0,0,0
ele,112,134,0,16,0
ele,113,127,0,0,0
ele,114,133,0,0,0
ele,115,129,0,8,0
ele,116,63,0,0,0
ele,117,113,0,0,0
ele,118,127,0,0,0
ele,119,161,0,0,0
ele,120,93,0,0,0
ele,121,125,0,0,0
ele,122,111,0,0,0
ele,123,139,0,0,0
ele,124,4111,0,0,0
ele,125,125,0,0,0
ele,126,89,0,0,0
ele,127,79,0,0,0
ele,128,115,0,8,0
ele,129,87,0,0,0
ele,130,108,0,8,0
ele,131,85,0,0,0
ele,132,148,0,0,0
ele,133,114,0,0,0
ele,134,135,0,0,0
ele,135,145,0,0,0
ele,136,129,0,0,0
ele,137,117,0,0,0
ele,138,97,0,0,0
ele,139,79,0,0,0
ele,140,97,0,0,0
ele,141,95,0,0,0
ele,142,115,0,0,0
ele,143,141,0,10,0
ele,144,81,0,0,0
ele,145,73,0,0,0
ele,146,102,0,0,0
ele,147,85,0,0,0
ele,148,103,0,0,0
ele,149,131,0,0,0
ele,150,107,0,0,0
ele,151,123,0,0,0
ele,152,98,0,0,0
ele,153,131,0,0,0
ele,154,129,0,0,0
ele,155,130,0,16,0
ele,156,93,0,0,0
ele,157,149,0,14,0
ele,158,145,0,0,0
ele,159,136,0,0,0
ele,160,89,0,16,0
ele,161,66,0,0,0
ele,162,204,0,16,0
ele,163,109,0,0,0
ele,164,151,0,16,0
ele,165,96,0,0,0
ele,166,86,0,0,0
ele,167,137,0,0,0
ele,168,156,0,16,0
ele,169,265,0,16,0
ele,170,130,0,0,0
ele,171,114,0,0,0
ele,172,110,0,0,0
ele,173,129,0,0,0
ele,174,117,0,8,0
ele,175,135,0,8,0
ele,176,132,0,0,0
ele,177,137,0,0,0
ele,178,203,0,6,0
ele,179,107,0,0,0
ele,180,107,0,0,0
ele,181,127,0,8,0
ele,182,117,0,0,0
ele,183,129,0,0,0
ele,184,121,0,8,0
ele,185,91,0,0,0
ele,186,165,0,6,0
ele,187,116,0,0,0
ele,188,151,0,8,0
ele,189,121,0,8,0
ele,190,113,0,0,0
ele,191,127,0,10,0
ele,192,129,0,0,0
ele,193,131,0,14,0
ele,194,113,0,0,0
ele,195,113,0,0,0
ele,196,117,0,0,0
ele,197,133,0,0,0
ele,198,155,0,0,0
ele,199,149,0,0,0
ele,200,216,0,16,0
ele,201,130,0,0,0
ele,202,103,0,0,0
ele,203,50,0,0,0
ele,204,138,0,0,0
ele,205,124,0,0,0
ele,206,140,0,0,0
ele,207,119,0,0,0
ele,208,133,0,6,0
ele,209,113,0,10,0
ele,210,133,0,0,0
ele,211,139,0,0,0
ele,212,109,0,0,0
ele,213,58,0,0,0
ele,214,187,0,0,0
ele,215,126,0,0,0
ele,216,211,0,16,0
ele,217,55,0,0,0
ele,218,132,0,8,0
ele,219,117,0,0,0
ele,220,85,0,12,0
ele,221,117,0,0,0
ele,222,365,0,6,0
ele,223,177,0,8,0
ele,224,113,0,0,0
ele,225,158,0,0,0
ele,226,114,0,0,0
ele,227,108,0,0,0
ele,228,100,0,0,0
ele,229,125,0,8,0
ele,230,196,0,8,0
ele,231,130,0,8,0
ele,232,130,0,0,0
ele,233,110,0,0,0
ele,234,130,0,0,0
ele,235,147,0,16,0
ele,236,126,0,0,0
ele,237,139,0,16,0
ele,238,238,0,16,0
ele,239,127,0,14,0
ele,240,200,0,12,0
ele,241,127,0,0,0
ele,242,132,0,0,0
ele,243,119,0,0,0
ele,244,129,0,16,0
ele,245,140,0,14,0
ele,246,130,0,14,0
ele,247,157,0,16,0
ele,248,112,0,14,0
ele,249,140,0,16,0
ele,250,119,0,0,0
ele,251,103,0,0,0
ele,252,179,0,16,0
ele,253,119,0,0,0
ele,254,248,0,12,0
ele,255,149,0,0,0
ele,256,123,0,0,0
ele,257,135,0,16,0
ele,258,137,0,16,0
ele,259,62,0,0,0
ele,260,115,0,0,0
ele,261,177,0,12,0
ele,262,157,0,0,0
ele,263,133,0,0,0
ele,264,149,0,16,0
ele,265,125,0,0,0
ele,266,85,0,0,0
ele,267,175,0,16,0
ele,268,139,0,14,0
ele,269,1528,0,0,0
ele,270,143,0,0,0
ele,271,109,0,0,0
ele,272,153,0,14,0
ele,273,140,0,14,0
ele,274,119,0,2,0
ele,275,295,0,14,0
ele,276,246,0,14,0
ele,277,121,0,0,0
ele,278,143,0,14,0
ele,279,149,0,14,0
ele,280,96,0,0,0
ele,281,125,0,0,0
ele,282,176,0,14,0
ele,283,93,0,0,0
ele,284,287,0,14,0
ele,285,135,0,14,0
ele,286,133,0,14,0
ele,287,137,0,14,0
ele,288,109,0,0,0
ele,289,151,0,14,0
ele,290,117,0,0,0
ele,291,141,0,0,0
ele,292,267,0,16,0
ele,293,187,0,0,0
ele,294,143,0,0,0
ele,295,117,0,0,0
ele,296,149,0,0,0
ele,297,141,0,12,0
ele,298,125,0,14,0
ele,299,135,0,0,0
ele,300,141,0,12,0
ele,301,204,0,14,0
ele,302,129,0,0,0
ele,303,139,0,0,0
ele,304,127,0,0,0
ele,305,75,0,14,0
ele,306,149,0,0,0
ele,307,143,0,0,0
ele,308,87,0,0,0
ele,309,115,0,8,0
ele,310,111,0,0,0
ele,311,179,0,14,0
ele,312,141,0,0,0
ele,313,159,0,14,0
ele,314,167,0,10,0
ele,315,187,0,10,0
ele,316,149,0,12,0
ele,317,129,0,0,0
