# project_name=xinanjiang solverstep_min=20 epsilon_m=1e-06
day_index,flips_sf,flips_us,flips_gw,flips_stage,flips_total
0,3025,0,0,142,3167
1,2130,0,0,27,2157
2,1545,0,50,3,1598
3,1590,0,402,7,1999
4,1553,0,420,2,1975
5,1529,0,0,0,1529
6,1525,0,376,0,1901
7,2104,0,0,54,2158
8,2971,0,386,149,3506
9,2990,0,466,16,3472
10,4157,0,600,215,4972
11,3050,0,0,196,3246
12,2736,0,0,337,3073
13,1837,0,0,61,1898
14,2109,0,0,29,2138
15,2324,0,2,42,2368
16,4021,0,2,327,4350
17,2244,0,0,96,2340
18,2164,0,0,72,2236
19,1724,0,0,36,1760
20,1800,0,0,24,1824
21,3916,0,0,336,4252
22,2459,0,0,102,2561
23,3983,0,1,271,4255
24,2423,0,0,263,2686
25,2824,0,0,240,3064
26,3134,0,2,347,3483
27,2800,0,0,299,3099
28,2885,0,0,272,3157
29,2326,0,0,100,2426
30,2861,0,0,365,3226
31,3115,0,0,306,3421
32,3184,0,0,352,3536
33,3076,0,0,274,3350
34,2912,0,0,233,3145
35,3383,0,0,406,3789
36,2338,0,0,260,2598
37,1834,0,0,28,1862
38,2187,0,0,47,2234
39,2135,0,0,79,2214
40,1994,0,0,88,2082
41,3486,0,0,100,3586
42,1652,0,0,42,1694
43,1685,0,0,51,1736
44,1633,0,0,44,1677
45,1607,0,0,50,1657
46,1740,0,0,36,1776
47,1834,0,0,21,1855
48,1750,0,0,20,1770
49,1693,0,0,17,1710
50,1686,0,0,15,1701
51,1643,0,104,13,1760
52,1590,0,0,12,1602
53,3435,0,0,351,3786
54,1399,0,0,148,1547
55,1924,0,0,163,2087
56,2820,0,0,360,3180
57,2438,0,0,505,2943
58,2676,0,2,338,3016
59,2411,0,0,199,2610
60,2161,0,0,133,2294
61,2061,0,1,96,2158
62,1942,0,0,174,2116
63,2888,0,1,296,3185
64,1903,0,0,147,2050
65,2016,0,0,49,2065
66,1785,0,0,48,1833
67,4053,0,0,90,4143
68,3143,0,1,263,3407
69,2655,0,0,337,2992
70,2654,0,0,443,3097
71,1334,0,0,166,1500
72,2814,0,0,469,3283
73,1421,0,0,233,1654
74,2590,0,0,370,2960
75,770,0,0,164,934
76,987,0,0,6,993
77,1111,0,0,48,1159
78,3393,0,0,398,3791
79,3395,0,0,173,3568
80,4170,0,0,229,4399
81,4176,0,0,347,4523
82,3741,0,0,306,4047
83,2073,0,0,240,2313
84,3114,0,0,64,3178
85,3257,0,0,9,3266
86,1746,0,0,38,1784
87,1517,0,0,59,1576
88,1780,0,5,67,1852
89,3925,0,5,296,4226
90,25,0,0,2,27
