solverstep_min=20.0
total_sub60_intervals=0  days_with_any_sub60=0
day_index,sub60_intervals,sub10_intervals,total_intervals,flips_total
0,0,0,71,3167
1,0,0,72,2157
2,0,0,72,1598
3,0,0,72,1999
4,0,0,72,1975
5,0,0,72,1529
6,0,0,72,1901
7,0,0,72,2158
8,0,0,72,3506
9,0,0,72,3472
10,0,0,72,4972
11,0,0,72,3246
12,0,0,72,3073
13,0,0,72,1898
14,0,0,72,2138
15,0,0,72,2368
16,0,0,72,4350
17,0,0,72,2340
18,0,0,72,2236
19,0,0,72,1760
20,0,0,72,1824
21,0,0,72,4252
22,0,0,72,2561
23,0,0,72,4255
24,0,0,72,2686
25,0,0,72,3064
26,0,0,72,3483
27,0,0,72,3099
28,0,0,72,3157
29,0,0,72,2426
30,0,0,72,3226
31,0,0,72,3421
32,0,0,72,3536
33,0,0,72,3350
34,0,0,72,3145
35,0,0,72,3789
36,0,0,72,2598
37,0,0,72,1862
38,0,0,72,2234
39,0,0,72,2214
40,0,0,72,2082
41,0,0,72,3586
42,0,0,72,1694
43,0,0,72,1736
44,0,0,72,1677
45,0,0,72,1657
46,0,0,72,1776
47,0,0,72,1855
48,0,0,72,1770
49,0,0,72,1710
50,0,0,72,1701
51,0,0,72,1760
52,0,0,72,1602
53,0,0,72,3786
54,0,0,72,1547
55,0,0,72,2087
56,0,0,72,3180
57,0,0,72,2943
58,0,0,72,3016
59,0,0,72,2610
60,0,0,72,2294
61,0,0,72,2158
62,0,0,72,2116
63,0,0,72,3185
64,0,0,72,2050
65,0,0,72,2065
66,0,0,72,1833
67,0,0,72,4143
68,0,0,72,3407
69,0,0,72,2992
70,0,0,72,3097
71,0,0,72,1500
72,0,0,72,3283
73,0,0,72,1654
74,0,0,72,2960
75,0,0,72,934
76,0,0,72,993
77,0,0,72,1159
78,0,0,72,3791
79,0,0,72,3568
80,0,0,72,4399
81,0,0,72,4523
82,0,0,72,4047
83,0,0,72,2313
84,0,0,72,3178
85,0,0,72,3266
86,0,0,72,1784
87,0,0,72,1576
88,0,0,72,1852
89,0,0,72,4226
90,0,0,1,27
