# project_name=keliya
# NY=1785
# nthreads=8
# backend=serial
op_name,op_class,calls,total_ns
nvlinearsum,elementwise,1551191,2792234000
nvconst,elementwise,336269,488302000
nvprod,elementwise,229206,391897000
nvdiv,elementwise,229206,392552000
nvscale,elementwise,1418235,2043957000
nvabs,elementwise,111130,177078000
nvinv,elementwise,111130,154559000
nvaddconst,elementwise,111130,153206000
nvcompare,elementwise,0,0
nvdotprod,reduction,814191,3016963000
nvmaxnorm,reduction,0,0
nvwrmsnorm,reduction,509659,4445959000
nvwrmsnormmask,reduction,0,0
nvmin,reduction,0,0
nvwl2norm,reduction,0,0
nvl1norm,reduction,0,0
nvinvtest,reduction,0,0
nvconstrmask,reduction,0,0
nvminquotient,reduction,0,0
nvdotprodlocal,reduction,0,0
nvmaxnormlocal,reduction,0,0
nvminlocal,reduction,0,0
nvl1normlocal,reduction,0,0
nvinvtestlocal,reduction,0,0
nvconstrmasklocal,reduction,0,0
nvminquotientlocal,reduction,0,0
nvwsqrsumlocal,reduction,0,0
nvwsqrsummasklocal,reduction,0,0
nvdotprodmultilocal,reduction,0,0
nvclone,other,25,6000
nvcloneempty,other,1,0
