# project_name=heihe_x4
# NY=124395
# nthreads=16
# backend=serial
op_name,op_class,calls,total_ns
nvlinearsum,elementwise,289646,110823505891
nvconst,elementwise,20101,5252836819
nvprod,elementwise,37245,15773449889
nvdiv,elementwise,37245,15200266373
nvscale,elementwise,141619,45816184320
nvabs,elementwise,6575,2382965718
nvinv,elementwise,6575,2347211068
nvaddconst,elementwise,6575,2322418024
nvcompare,elementwise,0,0
nvdotprod,reduction,221864,95133731008
nvmaxnorm,reduction,0,0
nvwrmsnorm,reduction,55113,47725892093
nvwrmsnormmask,reduction,0,0
nvmin,reduction,0,0
nvwl2norm,reduction,0,0
nvl1norm,reduction,0,0
nvinvtest,reduction,0,0
nvconstrmask,reduction,0,0
nvminquotient,reduction,0,0
nvdotprodlocal,reduction,0,0
nvmaxnormlocal,reduction,0,0
nvminlocal,reduction,0,0
nvl1normlocal,reduction,0,0
nvinvtestlocal,reduction,0,0
nvconstrmasklocal,reduction,0,0
nvminquotientlocal,reduction,0,0
nvwsqrsumlocal,reduction,0,0
nvwsqrsummasklocal,reduction,0,0
nvdotprodmultilocal,reduction,0,0
nvclone,other,25,284323
nvcloneempty,other,1,1876
