# project_name=keliya
# NY=1785
# nthreads=8
# backend=hybrid
op_name,op_class,calls,total_ns
nvlinearsum,elementwise,1551191,34650886000
nvconst,elementwise,336269,7484503000
nvprod,elementwise,229206,5153410000
nvdiv,elementwise,229206,5039761000
nvscale,elementwise,1418235,31290049000
nvabs,elementwise,111130,2483330000
nvinv,elementwise,111130,2498344000
nvaddconst,elementwise,111130,2439110000
nvcompare,elementwise,0,0
nvdotprod,reduction,814191,1674262000
nvmaxnorm,reduction,0,0
nvwrmsnorm,reduction,509659,4295914000
nvwrmsnormmask,reduction,0,0
nvmin,reduction,0,0
nvwl2norm,reduction,0,0
nvl1norm,reduction,0,0
nvinvtest,reduction,0,0
nvconstrmask,reduction,0,0
nvminquotient,reduction,0,0
nvdotprodlocal,reduction,0,0
nvmaxnormlocal,reduction,0,0
nvminlocal,reduction,0,0
nvl1normlocal,reduction,0,0
nvinvtestlocal,reduction,0,0
nvconstrmasklocal,reduction,0,0
nvminquotientlocal,reduction,0,0
nvwsqrsumlocal,reduction,0,0
nvwsqrsummasklocal,reduction,0,0
nvdotprodmultilocal,reduction,0,0
nvclone,other,25,4000
nvcloneempty,other,1,0
