JOBID NAME STATE PARTITION NODES NODELIST(REASON) TIME TIME_LIMIT
9527 p8pre_heihe_x4_N8_singleton PENDING CPU 1 (Dependency) 0:00 1:00:00
9526 p8pre_heihe_x4_N8_singleton PENDING CPU 1 (Dependency) 0:00 1:00:00
9524 p8pre_heihe_x4_N4_singleton PENDING CPU 1 (Dependency) 0:00 1:00:00
9523 p8pre_heihe_x4_N4_singleton PENDING CPU 1 (Dependency) 0:00 1:00:00
9521 p8pre_heihe_x4_N1_singleton PENDING CPU 1 (Dependency) 0:00 1:00:00
9520 p8pre_heihe_x4_N1_singleton PENDING CPU 1 (Dependency) 0:00 1:00:00
9518 p8pre_heihe_N8_singleton PENDING CPU 1 (Dependency) 0:00 1:00:00
9517 p8pre_heihe_N8_singleton PENDING CPU 1 (Dependency) 0:00 1:00:00
9515 p8pre_heihe_N4_singleton PENDING CPU 1 (Dependency) 0:00 1:00:00
9514 p8pre_heihe_N4_singleton PENDING CPU 1 (Dependency) 0:00 1:00:00
9512 p8pre_heihe_N1_singleton PENDING CPU 1 (Dependency) 0:00 1:00:00
9511 p8pre_heihe_N1_singleton PENDING CPU 1 (Dependency) 0:00 1:00:00
9522 p8pre_heihe_x4_N4_singleton RUNNING CPU 1 cn15 0:57 1:00:00
9525 p8pre_heihe_x4_N8_singleton RUNNING CPU 1 cn15 0:57 1:00:00
9510 p8pre_heihe_N1_singleton RUNNING CPU 1 cn14 0:58 1:00:00
9513 p8pre_heihe_N4_singleton RUNNING CPU 1 cn14 0:58 1:00:00
9516 p8pre_heihe_N8_singleton RUNNING CPU 1 cn14 0:58 1:00:00
9519 p8pre_heihe_x4_N1_singleton RUNNING CPU 1 cn15 0:58 1:00:00
