case N rep nst nfe ncfn nps npe wall_total t_precond_setup
heihe 1 1 6599 6696 6 18163 77 137.079454928 0.000008872
heihe 1 2 6599 6696 6 18163 77 137.273595557 0.000008923
heihe 1 3 6599 6696 6 18163 77 121.619109402 0.000008255
heihe 4 1 6599 6696 6 18163 77 94.048899532 0.000008824
heihe 4 2 6599 6696 6 18163 77 93.846238023 0.000008767
heihe 4 3 6599 6696 6 18163 77 93.499076194 0.000009155
heihe 8 1 6599 6696 6 18163 77 88.216195572 0.000008812
heihe 8 2 6599 6696 6 18163 77 87.621432953 0.000008766
heihe 8 3 6599 6696 6 18163 77 88.037626219 0.000008885
heihe_x4 1 1 6569 6775 47 37695 158 1491.049945147 0.000014313
heihe_x4 1 2 6569 6775 47 37695 158 1428.286663562 0.000013806
heihe_x4 1 3 6569 6775 47 37695 158 1273.799670059 0.000013011
heihe_x4 4 1 6569 6775 47 37695 158 858.281215947 0.000014087
heihe_x4 4 2 6569 6775 47 37695 158 858.296898825 0.000012654
heihe_x4 4 3 6569 6775 47 37695 158 847.850103372 0.000013947
heihe_x4 8 1 6569 6775 47 37695 158 748.337365513 0.000013830
heihe_x4 8 2 6569 6775 47 37695 158 747.720080245 0.000014535
heihe_x4 8 3 6569 6775 47 37695 158 749.529491602 0.000014242
