case N rep start_utc end_utc elapsed_s exit_code
heihe 1 1 2026-06-27T05:06:41Z 2026-06-27T05:09:03Z 142 0
heihe 1 2 2026-06-27T05:09:04Z 2026-06-27T05:11:26Z 142 0
heihe 1 3 2026-06-27T05:11:27Z 2026-06-27T05:13:33Z 126 0
heihe 4 1 2026-06-27T05:06:41Z 2026-06-27T05:08:20Z 99 0
heihe 4 2 2026-06-27T05:08:21Z 2026-06-27T05:10:00Z 99 0
heihe 4 3 2026-06-27T05:10:01Z 2026-06-27T05:11:40Z 99 0
heihe 8 1 2026-06-27T05:06:41Z 2026-06-27T05:08:15Z 94 0
heihe 8 2 2026-06-27T05:08:16Z 2026-06-27T05:09:49Z 93 0
heihe 8 3 2026-06-27T05:09:50Z 2026-06-27T05:11:23Z 93 0
heihe_x4 1 1 2026-06-27T05:06:43Z 2026-06-27T05:32:02Z 1519 0
heihe_x4 1 2 2026-06-27T05:32:03Z 2026-06-27T05:56:20Z 1457 0
heihe_x4 1 3 2026-06-27T05:56:21Z 2026-06-27T06:18:02Z 1301 0
heihe_x4 4 1 2026-06-27T05:06:43Z 2026-06-27T05:21:30Z 887 0
heihe_x4 4 2 2026-06-27T05:21:31Z 2026-06-27T05:36:18Z 887 0
heihe_x4 4 3 2026-06-27T05:36:21Z 2026-06-27T05:50:57Z 876 0
heihe_x4 8 1 2026-06-27T05:06:43Z 2026-06-27T05:19:40Z 777 0
heihe_x4 8 2 2026-06-27T05:19:41Z 2026-06-27T05:32:38Z 777 0
heihe_x4 8 3 2026-06-27T05:32:38Z 2026-06-27T05:45:36Z 778 0
