nn	case	interp_type	coarsen_type	NumY	nnz_A	setup_wall_sec	apply_wall_sec	peak_rss_bytes	cycle_complexity	operator_complexity	residual_reduction_v1	verdict_class	hypre_version	colpack_version	shud_pin
00	keliya	6	8	1785	10255	0.001094	0.001257	19988480	2.0043	1.0021	50.8449	PASS	3.1.0	unknown	1ab61c023ac2b93a178c2feb07aa3df509fe1a96
01	keliya	14	10	1785	10255	0.00057	0.00103	20316160	2.0043	1.0021	73.8267	PASS	3.1.0	unknown	1ab61c023ac2b93a178c2feb07aa3df509fe1a96
02	keliya	6	21	1785	10255	0.000561	0.001031	19906560	2.0059	1.0029	57.215	PASS	3.1.0	unknown	1ab61c023ac2b93a178c2feb07aa3df509fe1a96
03	keliya	8	8	1785	10255	0.000582	0.00102	20254720	2.0043	1.0021	50.8449	PASS	3.1.0	unknown	1ab61c023ac2b93a178c2feb07aa3df509fe1a96
04	heihe	6	8	21357	120485	0.001558	0.001666	35717120	2	1	158532.1781	PASS	3.1.0	unknown	1ab61c023ac2b93a178c2feb07aa3df509fe1a96
05	heihe	14	10	21357	120485	0.001634	0.001692	36044800	2	1	158532.1781	PASS	3.1.0	unknown	1ab61c023ac2b93a178c2feb07aa3df509fe1a96
06	heihe	6	21	21357	120485	0.002623	0.002238	36020224	2.0213	1.0106	158648.6364	PASS	3.1.0	unknown	1ab61c023ac2b93a178c2feb07aa3df509fe1a96
07	heihe	8	8	21357	120485	0.001452	0.001667	36040704	2	1	158532.1781	PASS	3.1.0	unknown	1ab61c023ac2b93a178c2feb07aa3df509fe1a96
08	heihe_x4	6	8	124395	653387	0.009476	0.018179	116314112	2	1	11411.2725	PASS	3.1.0	unknown	1ab61c023ac2b93a178c2feb07aa3df509fe1a96
09	heihe_x4	14	10	124395	653387	0.010401	0.018096	116326400	2	1	11411.2725	PASS	3.1.0	unknown	1ab61c023ac2b93a178c2feb07aa3df509fe1a96
10	heihe_x4	6	21	124395	653387	0.013382	0.017854	116301824	2.0003	1.0001	11419.1688	PASS	3.1.0	unknown	1ab61c023ac2b93a178c2feb07aa3df509fe1a96
11	heihe_x4	8	8	124395	653387	0.009986	0.017854	116305920	2	1	11411.2725	PASS	3.1.0	unknown	1ab61c023ac2b93a178c2feb07aa3df509fe1a96
12	heihe_x16	6	8	485250	2481548	0.037785	0.078349	399769600	2	1	22538.0005	PASS	3.1.0	unknown	1ab61c023ac2b93a178c2feb07aa3df509fe1a96
13	heihe_x16	14	10	485250	2481548	0.041478	0.07934	399769600	2	1	22538.0005	PASS	3.1.0	unknown	1ab61c023ac2b93a178c2feb07aa3df509fe1a96
14	heihe_x16	6	21	485250	2481548	0.048697	0.079398	399769600	2.0001	1	22553.5964	PASS	3.1.0	unknown	1ab61c023ac2b93a178c2feb07aa3df509fe1a96
15	heihe_x16	8	8	485250	2481548	0.039249	0.077976	399769600	2	1	22538.0005	PASS	3.1.0	unknown	1ab61c023ac2b93a178c2feb07aa3df509fe1a96
