case	N	maxl	rep	wall_s	nfe	nfeLS	nni	nli	nsetups	netf	nst	npe	nps	ncfn	ncfl	lenrw	leniw	lenrwLS	leniwLS	rivqdown_sha12	prov_log_count
heihe	1	5	1	149.31	6943	12632	6942	12632	0	0	6698	0	0	7	85	277730	53	256338	42	a2023ccd2de4	1
heihe	1	5	2	148.43	6943	12632	6942	12632	0	0	6698	0	0	7	85	277730	53	256338	42	a2023ccd2de4	1
heihe	1	5	3	127.77	6943	12632	6942	12632	0	0	6698	0	0	7	85	277730	53	256338	42	a2023ccd2de4	1
heihe	1	10	1	151.08	6813	12581	6812	12581	0	0	6549	0	0	5	0	277730	53	363223	47	e4e9721cf667	1
heihe	1	10	2	138.27	6813	12581	6812	12581	0	0	6549	0	0	5	0	277730	53	363223	47	e4e9721cf667	1
heihe	1	10	3	138.56	6813	12581	6812	12581	0	0	6549	0	0	5	0	277730	53	363223	47	e4e9721cf667	1
heihe	1	15	1	133.56	6813	12581	6812	12581	0	0	6549	0	0	5	0	277730	53	470158	52	e4e9721cf667	1
heihe	1	15	2	133.52	6813	12581	6812	12581	0	0	6549	0	0	5	0	277730	53	470158	52	e4e9721cf667	1
heihe	1	15	3	146.14	6813	12581	6812	12581	0	0	6549	0	0	5	0	277730	53	470158	52	e4e9721cf667	1
heihe	1	20	1	133.64	6813	12581	6812	12581	0	0	6549	0	0	5	0	277730	53	577143	57	e4e9721cf667	1
heihe	1	20	2	133.52	6813	12581	6812	12581	0	0	6549	0	0	5	0	277730	53	577143	57	e4e9721cf667	1
heihe	1	20	3	127.31	6813	12581	6812	12581	0	0	6549	0	0	5	0	277730	53	577143	57	e4e9721cf667	1
heihe	1	30	1	130.55	6813	12581	6812	12581	0	0	6549	0	0	5	0	277730	53	791263	67	e4e9721cf667	1
heihe	1	30	2	130.64	6813	12581	6812	12581	0	0	6549	0	0	5	0	277730	53	791263	67	e4e9721cf667	1
heihe	1	30	3	134.06	6813	12581	6812	12581	0	0	6549	0	0	5	0	277730	53	791263	67	e4e9721cf667	1
heihe	8	5	1	135.26	6943	12632	6942	12632	0	0	6698	0	0	7	85	277730	53	256338	42	a2023ccd2de4	1
heihe	8	5	2	143.11	6943	12632	6942	12632	0	0	6698	0	0	7	85	277730	53	256338	42	a2023ccd2de4	1
heihe	8	5	3	143.11	6943	12632	6942	12632	0	0	6698	0	0	7	85	277730	53	256338	42	a2023ccd2de4	1
heihe	8	10	1	141.99	6813	12581	6812	12581	0	0	6549	0	0	5	0	277730	53	363223	47	e4e9721cf667	1
heihe	8	10	2	149.54	6813	12581	6812	12581	0	0	6549	0	0	5	0	277730	53	363223	47	e4e9721cf667	1
heihe	8	10	3	149.80	6813	12581	6812	12581	0	0	6549	0	0	5	0	277730	53	363223	47	e4e9721cf667	1
heihe	8	15	1	151.44	6813	12581	6812	12581	0	0	6549	0	0	5	0	277730	53	470158	52	e4e9721cf667	1
heihe	8	15	2	127.52	6813	12581	6812	12581	0	0	6549	0	0	5	0	277730	53	470158	52	e4e9721cf667	1
heihe	8	15	3	140.17	6813	12581	6812	12581	0	0	6549	0	0	5	0	277730	53	470158	52	e4e9721cf667	1
heihe	8	20	1	141.13	6813	12581	6812	12581	0	0	6549	0	0	5	0	277730	53	577143	57	e4e9721cf667	1
heihe	8	20	2	133.80	6813	12581	6812	12581	0	0	6549	0	0	5	0	277730	53	577143	57	e4e9721cf667	1
heihe	8	20	3	133.38	6813	12581	6812	12581	0	0	6549	0	0	5	0	277730	53	577143	57	e4e9721cf667	1
