nn	case	ordering	btf	NumY	Anz	fill_ratio	numeric_lnz_plus_unz	nnz_A	symbolic_wall_s	numeric_wall_s	peak_rss_mb	chromatic_number	verdict_class
00	keliya	natural	1	1785	10255	205.9479	2111996	10255	0.000231	0.913238	28.12	16	PASS
01	keliya	amd	0	1785	10255	3.2265	33088	10255	0.001070	0.001418	4.38	16	PASS
02	keliya	amd	1	1785	10255	3.2265	33088	10255	0.001196	0.001457	4.38	16	PASS
03	keliya	colamd	1	1785	10255	4.6414	47598	10255	0.001614	0.002102	4.38	16	PASS
04	heihe	natural	1	21357	120485	2304.2871	277632026	120485	0.002825	1630.143313	3185.25	18	PASS
05	heihe	amd	0	21357	120485	5.3874	649100	120485	0.012847	0.038368	15.16	18	PASS
06	heihe	amd	1	21357	120485	5.3874	649100	120485	0.014555	0.038266	15.28	18	PASS
07	heihe	colamd	1	21357	120485	8.9559	1079052	120485	0.017271	0.077088	20.12	18	PASS
08	heihe_x4	natural	1	124395							15460.22	16	fill_overflow
09	heihe_x4	amd	0	124395	653387	8.3477	5454266	653387	0.080795	0.500049	88.81	16	PASS
10	heihe_x4	amd	1	124395	653387	8.3477	5454266	653387	0.089403	0.494465	89.15	16	PASS
11	heihe_x4	colamd	1	124395	653387	15.0578	9838584	653387	0.092550	1.241740	139.45	16	PASS
12	heihe_x16	natural	1	485250							16452.81	20	fill_overflow
13	heihe_x16	amd	0	485250	2481548	11.0780	27490538	2481548	0.454577	4.742845	405.65	20	PASS
14	heihe_x16	amd	1	485250	2481548	11.0780	27490538	2481548	0.506251	4.739916	407.68	20	PASS
15	heihe_x16	colamd	1	485250	2481548	20.6337	51203610	2481548	0.427978	11.708146	678.99	20	PASS
