index	down	type	reservoir	BC	zbed	zbank	Length	BedSlope	avgRough	index	depth	bankslope	BottomWidth	Sinuosity	Rough	Cwr	KsatH	
1	2	5	-9999	0	-9999	0	1516.85	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
2	3	5	-9999	0	-9999	0	1497.64	0.00333859	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
3	4	5	-9999	0	-9999	0	1590.68	0.00502928	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
4	-1	5	-9999	0	-9999	0	1501.14	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
5	6	5	-9999	0	-9999	0	1910.31	0.00575823	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
6	7	5	-9999	0	-9999	0	1914.68	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
7	8	5	-9999	0	-9999	0	1891.85	0.00740015	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
8	1	5	-9999	0	-9999	0	1961.56	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
9	10	5	-9999	0	-9999	0	2119.16	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
10	11	5	-9999	0	-9999	0	2122.32	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
11	12	5	-9999	0	-9999	0	2076.15	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
12	13	5	-9999	0	-9999	0	2144.76	0.000932504	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
13	14	5	-9999	0	-9999	0	2054.18	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
14	15	5	-9999	0	-9999	0	2122.27	0.0155494	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
15	16	5	-9999	0	-9999	0	2075.66	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
16	5	5	-9999	0	-9999	0	2190.76	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
17	18	5	-9999	0	-9999	0	2469.81	0.00971734	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
18	19	5	-9999	0	-9999	0	2379.28	0.00126089	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
19	20	5	-9999	0	-9999	0	2421.84	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
20	21	5	-9999	0	-9999	0	2423.94	0.00123765	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
21	22	5	-9999	0	-9999	0	2446.16	0.00122641	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
22	23	5	-9999	0	-9999	0	2443.91	0.0020459	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
23	24	5	-9999	0	-9999	0	2491.45	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
24	25	5	-9999	0	-9999	0	2400.53	0.000833149	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
25	26	5	-9999	0	-9999	0	2469.23	0.00202492	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
26	9	5	-9999	0	-9999	0	2400.22	0.00124988	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
27	28	5	-9999	0	-9999	0	2312.38	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
28	29	5	-9999	0	-9999	0	2289.04	0.00393177	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
29	30	5	-9999	0	-9999	0	2288.9	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
30	31	5	-9999	0	-9999	0	2195.76	0.00227711	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
31	32	5	-9999	0	-9999	0	2241.55	0.00356896	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
32	33	5	-9999	0	-9999	0	2334.33	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
33	34	5	-9999	0	-9999	0	2332.9	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
34	35	5	-9999	0	-9999	0	2264.7	0.000883118	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
35	36	5	-9999	0	-9999	0	2334.06	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
36	37	5	-9999	0	-9999	0	2264.31	0.00264981	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
37	38	5	-9999	0	-9999	0	2310.72	0.0038949	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
38	39	5	-9999	0	-9999	0	2263.69	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
39	40	5	-9999	0	-9999	0	2241.29	0.000892344	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
40	41	5	-9999	0	-9999	0	2334.38	0.00342703	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
41	42	5	-9999	0	-9999	0	2240.66	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
42	43	5	-9999	0	-9999	0	2264.78	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
43	44	5	-9999	0	-9999	0	2260.86	0.00044231	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
44	45	5	-9999	0	-9999	0	2333.89	0.00128541	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
45	46	5	-9999	0	-9999	0	2330.96	0.00686412	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
46	47	5	-9999	0	-9999	0	2261.41	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
47	48	5	-9999	0	-9999	0	2238.64	0.00491371	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
48	17	5	-9999	0	-9999	0	2308.13	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
49	50	5	-9999	0	-9999	0	1989.72	0.00201033	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
50	51	5	-9999	0	-9999	0	2082.12	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
51	52	5	-9999	0	-9999	0	1920.11	0.00312481	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
52	53	5	-9999	0	-9999	0	2035.73	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
53	54	5	-9999	0	-9999	0	2035.27	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
54	55	5	-9999	0	-9999	0	2081.62	0.00480396	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
55	56	5	-9999	0	-9999	0	1988.89	0.00402234	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
56	27	5	-9999	0	-9999	0	2011.75	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
57	58	5	-9999	0	-9999	0	2546.17	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
58	59	5	-9999	0	-9999	0	2432.47	0.00411105	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
59	60	5	-9999	0	-9999	0	2500.42	0.0011998	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
60	61	5	-9999	0	-9999	0	2501.09	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
61	62	5	-9999	0	-9999	0	2477.19	0.00444051	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
62	63	5	-9999	0	-9999	0	2523.39	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
63	64	5	-9999	0	-9999	0	2478.37	0.0044384	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
64	65	5	-9999	0	-9999	0	2546.22	0.00314192	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
65	66	5	-9999	0	-9999	0	2453.29	0.0004	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
66	67	5	-9999	0	-9999	0	2499.54	0.00880162	0.000666667	0	8	1	100	1	0.000666667	0.6	6.94444e-05	
