index	iSoil	iGeol	iLC	IC	iForc	iMF	iBC	iLake	node0	node1	node2	nabr0	nabr1	nabr2	edge0	edge1	edge2	area	x	y	zmin	zmax	soil_index	infKsatV	ThetaS	ThetaR	Alpha	Beta	hAreaF	macKsatV	infD	geol_index	KsatH	KsatV	SpYield	geo_ThetaS	geo_ThetaR	geo_vAreaF	macKsatH	macD	LC_index	VegFrac	Albedo	Rough	RzD	SoilDgrd	ImpAF	Dist2Edge0	Dist2Edge1	Dist2Edge2	Dist2Nabor0	Dist2Nabor1	Dist2Nabor2	avgRough0	avgRough1	avgRough2	windH	FixPressure	AquiferDepth	WetlandLevel	RootReachLevel	MacporeLevel	
1	75	75	17	-9999	181	1	0	0	0	4673	4671	4674	8984	14515	8986	2929.78	3472.64	3888.19	4.89594e+06	-126049	4.0483e+06	4170.12	4176.12	-9999	6.12032e-05	0.499223	0.01	2.47817	1.10105	0.01	0.00612032	0.1	-9999	0.000556172	5.56172e-05	0.491243	0.501243	0.01	0.01	0.0556172	1	0	0.01	0.3	0.000583333	0.55	0.6	0	1114.06	939.907	839.453	1988.63	1752.86	1780.39	0.000583333	0.000625	0.000625	10	60.7612	6	5.9	5.45	5	
2	47	47	17	-9999	1487	1	0	0	0	825	870	869	1376	1365	1472	2486.35	2552.41	2487.13	2.72378e+06	143740	4.23559e+06	1045.93	1051.93	-9999	0.000104061	0.429844	0.01	3.81562	1.20828	0.01	0.0104061	0.1	-9999	0.0010347	0.00010347	0.404858	0.414858	0.01	0.01	0.10347	1	0	0.01	0.3	0.000583333	0.55	0.6	0	730.33	711.428	730.101	1465.97	1661.68	1478.2	0.000583333	0.000583333	0.000583333	10	89.4902	6	5.9	5.45	5	
3	69	69	11	-9999	128	1	0	0	0	9040	15314	12104	7272	17664	23741	3291.94	3216.43	3013.06	4.34415e+06	-145529	4.09624e+06	3896.43	3902.43	-9999	0.000386316	0.481521	0.01	3.54553	1.13512	0.01	0.0386316	0.1	-9999	0.000581971	5.81971e-05	0.484056	0.494056	0.01	0.01	0.0581971	1	0	0.726	0.15	0.000666667	0.75	0	0	879.756	900.408	961.183	1814.56	1907.32	1700.61	0.000666667	0.000666667	0.000666667	10	62.9306	6	5.9	5.25	5	
4	27	27	17	-9999	1612	1	0	0	0	383	382	304	318	531	160	2836.11	3935.23	2786.18	3.95013e+06	172188	4.31844e+06	973.302	979.302	-9999	0.000137214	0.466971	0.01	3.69993	1.21789	0.01	0.0137214	0.1	-9999	0.00247817	0.000247817	0.445697	0.455697	0.01	0.01	0.247817	1	0	0.01	0.3	0.000583333	0.55	0.6	0	928.535	669.192	945.175	1819.76	1372.34	1818.61	0.000583333	0.000583333	0.000583333	10	90.2695	6	5.9	5.45	5	
5	75	75	17	-9999	38	1	0	0	0	19045	19046	19044	37433	34398	34404	3629.9	2423.49	2486.5	2.99996e+06	-178439	4.08069e+06	4126.03	4132.03	-9999	6.12032e-05	0.499223	0.01	2.47817	1.10105	0.01	0.00612032	0.1	-9999	0.000556172	5.56172e-05	0.491243	0.501243	0.01	0.01	0.0556172	1	0	0.01	0.3	0.000583333	0.55	0.6	0	550.973	825.246	804.333	1607.96	1629.34	1580.87	0.000583333	0.000583333	0.000625	10	61.1066	6	5.9	5.45	5	
6	28	28	17	-9999	1168	1	0	0	0	258	464	363	691	269	498	3437.38	2993.48	3436.83	4.63106e+06	72122.7	4.22685e+06	1099.47	1105.47	-9999	0.00012754	0.447753	0.01	3.94178	1.20985	0.01	0.012754	0.1	-9999	0.0018545	0.00018545	0.439714	0.449714	0.01	0.01	0.18545	1	0	0.01	0.3	0.000583333	0.55	0.6	0	898.176	1031.37	898.321	1920.67	1920.94	1409.97	0.000583333	0.000583333	0.000583333	10	88.9193	6	5.9	5.45	5	
7	75	75	17	-9999	98	1	0	0	0	12138	198	4480	14537	11802	23807	3663.52	2986.61	2987.03	4.32146e+06	-155207	4.06317e+06	4473.95	4479.95	-9999	6.12032e-05	0.499223	0.01	2.47817	1.10105	0.01	0.00612032	0.1	-9999	0.000556172	5.56172e-05	0.491243	0.501243	0.01	0.01	0.0556172	1	0	0.01	0.3	0.000583333	0.55	0.6	0	786.394	964.63	964.493	1488.06	1987.21	1871.6	0.000583333	0.000625	0.000583333	10	58.4243	6	5.9	5.45	5	
8	76	76	11	-9999	57	1	0	0	0	12176	12173	12178	23879	23878	38951	3522.58	3523.16	2627.68	4.29456e+06	-171649	4.07894e+06	3872.47	3878.47	-9999	0.00135997	0.459687	0.01	4.60851	1.40516	0.01	0.135997	0.1	-9999	0.00375715	0.000375715	0.400042	0.410042	0.01	0.01	0.375715	1	0	0.726	0.15	0.000666667	0.75	0	0	812.768	812.633	1089.57	1240.48	1686.15	1794.9	0.000666667	0.000666667	0.000666667	10	63.1235	6	5.9	5.25	5	
9	78	78	11	-9999	181	1	0	0	0	1760	4687	4671	9016	3223	3216	2950.19	3062.22	2480.03	3.39236e+06	-125593	4.04455e+06	4529.62	4535.62	-9999	0.000343036	0.466971	0.01	3.69993	1.21789	0.01	0.0343036	0.1	-9999	0.00247817	0.000247817	0.445697	0.455697	0.01	0.01	0.247817	1	0	0.726	0.15	0.000666667	0.75	0	0	766.587	738.542	911.915	1533.15	1791.62	2085.07	0.000666667	0.000625	0.000625	10	58.0042	6	5.9	5.25	5	
10	83	83	17	-9999	1681	1	0	0	0	209	214	1722	3148	246	0	2738.99	2738.79	4096.01	3.72444e+06	196756	4.44789e+06	1116.7	1122.7	-9999	8.26953e-05	0.43509	0.01	3.46354	1.17064	0.01	0.00826953	0.1	-9999	0.00128813	0.000128813	0.361608	0.371608	0.01	0.01	0.128813	1	0	0.01	0.3	0.000583333	0.55	0.6	0	906.522	906.591	606.189	1635.97	1825.48	0	0.000583333	0.000583333	0.000583333	10	88.7361	6	5.9	5.45	5	
11	28	28	17	-9999	9	1	0	0	0	512	465	511	786	500	787	2818.98	2775.35	2776.03	3.37036e+06	-191572	4.37941e+06	1703.73	1709.73	-9999	0.00012754	0.447753	0.01	3.94178	1.20985	0.01	0.012754	0.1	-9999	0.0018545	0.00018545	0.439714	0.449714	0.01	0.01	0.18545	1	0	0.01	0.3	0.000583333	0.55	0.6	0	797.063	809.592	809.397	1743.13	1808.64	1717.84	0.000583333	0.000583333	0.000583333	10	82.6772	6	5.9	5.45	5	
12	29	29	17	-9999	1579	1	0	0	0	293	3939	302	7549	250	7550	3140.49	3691.82	2726.15	4.18151e+06	167708	4.26244e+06	1039.66	1045.66	-9999	0.00016511	0.458126	0.01	4.11054	1.226	0.01	0.016511	0.1	-9999	0.00237451	0.000237451	0.434282	0.444282	0.01	0.01	0.237451	1	0	0.01	0.3	0.000583333	0.55	0.6	0	887.656	755.094	1022.57	1637.74	1376.71	1773.51	0.000583333	0.000583333	0.000583333	10	89.5572	6	5.9	5.45	5	
13	25	25	17	-9999	332	1	0	0	0	414	416	415	597	591	595	2851.46	2435.25	2852.12	3.13998e+06	-89598.7	4.19341e+06	1255.82	1261.82	-9999	0.00012754	0.447753	0.01	3.94178	1.20985	0.01	0.012754	0.1	-9999	0.0018545	0.00018545	0.439714	0.449714	0.01	0.01	0.18545	1	0	0.01	0.3	0.000583333	0.55	0.6	0	734.123	859.592	733.954	1634.04	1821.47	1655.84	0.000583333	0.000583333	0.000583333	10	87.2687	6	5.9	5.45	5	
14	69	69	11	-9999	279	1	0	0	0	236	237	342	458	457	281	2351.13	3702.55	4253	4.3431e+06	-103523	4.02679e+06	4323.84	4329.84	-9999	0.000386316	0.481521	0.01	3.54553	1.13512	0.01	0.0386316	0.1	-9999	0.000581971	5.81971e-05	0.484056	0.494056	0.01	0.01	0.0581971	1	0	0.726	0.15	0.000666667	0.75	0	0	1231.5	782.002	680.79	2639.14	1417.57	1682.78	0.000666667	0.000666667	0.000666667	10	59.5697	6	5.9	5.25	5	
15	78	78	16	-9999	245	1	0	0	0	217	193	192	0	239	17	2771.96	3276.29	3276.61	4.1148e+06	-106884	4.02345e+06	4903.52	4909.52	-9999	0.000343036	0.466971	0.01	3.69993	1.21789	0.01	0.0343036	0.1	-9999	0.00247817	0.000247817	0.445697	0.455697	0.01	0.01	0.247817	1	0	0	0.65	0.000333333	0	0	0.5	989.623	837.288	837.205	0	1501.83	1944.11	0.000333333	0.0005	0.0005	10	55.2451	6	5.9	6	5	
16	29	29	17	-9999	1579	1	0	0	0	5510	292	290	125	10646	187	2708.42	2211.63	3048.21	2.90372e+06	162650	4.25502e+06	1030.88	1036.88	-9999	0.00016511	0.458126	0.01	4.11054	1.226	0.01	0.016511	0.1	-9999	0.00237451	0.000237451	0.434282	0.444282	0.01	0.01	0.237451	1	0	0.01	0.3	0.000583333	0.55	0.6	0	714.74	875.289	635.065	1504.67	1535.04	1249.48	0.000583333	0.000583333	0.000583333	10	89.6512	6	5.9	5.45	5	
